Using master - a54d38b0ca7ccf8fbd44f5273486af8b58065af8 - 2022-06-22 06:07:56.463777

22/06/2022-06:07:56 [Main] Starting modules
22/06/2022-06:36:19 [flowmldetection] 	Training Score: 0.998766345916605
22/06/2022-06:36:59 [flowmldetection] 	Training Score: 0.9987813794784304
22/06/2022-06:37:39 [flowmldetection] 	Training Score: 0.9987960510474356
22/06/2022-06:38:20 [flowmldetection] 	Training Score: 0.9988103735427076
22/06/2022-06:39:03 [flowmldetection] 	Training Score: 0.9988243592758053
22/06/2022-06:39:43 [flowmldetection] 	Training Score: 0.9988380199860563
22/06/2022-06:40:27 [flowmldetection] 	Training Score: 0.9988513668734206
22/06/2022-06:41:04 [flowmldetection] 	Training Score: 0.9986372927549398
22/06/2022-06:41:49 [flowmldetection] 	Training Score: 0.9986525937570178
22/06/2022-06:42:26 [flowmldetection] 	Training Score: 0.9986675549633578
22/06/2022-06:43:09 [flowmldetection] 	Training Score: 0.998682187568636
22/06/2022-06:43:53 [flowmldetection] 	Training Score: 0.9986965022811211
22/06/2022-06:44:33 [flowmldetection] 	Training Score: 0.9987105093488072
22/06/2022-06:45:18 [flowmldetection] 	Training Score: 0.9987242185838826
22/06/2022-06:46:00 [flowmldetection] 	Training Score: 0.9987376393856512
22/06/2022-06:46:46 [flowmldetection] 	Training Score: 0.9987507807620237
22/06/2022-06:47:33 [flowmldetection] 	Training Score: 0.9987636513496806
22/06/2022-06:48:16 [flowmldetection] 	Training Score: 0.9987762594330002
22/06/2022-06:49:01 [flowmldetection] 	Training Score: 0.9987886129618413
22/06/2022-06:49:49 [flowmldetection] 	Training Score: 0.998800719568259
22/06/2022-06:50:36 [flowmldetection] 	Training Score: 0.9988125865822284
22/06/2022-06:51:25 [flowmldetection] 	Training Score: 1.0
22/06/2022-06:52:14 [flowmldetection] 	Training Score: 1.0
22/06/2022-06:53:01 [flowmldetection] 	Training Score: 1.0
22/06/2022-06:53:49 [flowmldetection] 	Training Score: 0.9996192651818009
22/06/2022-06:54:33 [flowmldetection] 	Training Score: 0.9996228549877428
22/06/2022-06:55:29 [flowmldetection] 	Training Score: 0.9996263777321128
22/06/2022-06:56:21 [flowmldetection] 	Training Score: 0.9996298352766981
22/06/2022-06:57:11 [flowmldetection] 	Training Score: 0.9996332294150009
22/06/2022-06:58:05 [flowmldetection] 	Training Score: 0.9996365618753407
22/06/2022-06:58:54 [flowmldetection] 	Training Score: 0.9996398343237889
22/06/2022-06:59:39 [flowmldetection] 	Training Score: 0.9996430483669463
22/06/2022-07:00:32 [flowmldetection] 	Training Score: 0.9996462055545728
22/06/2022-07:01:29 [flowmldetection] 	Training Score: 0.9998246536910398
